address,sum_bought,class_bought,txs_bought,sum_sold,class_sold,txs_sold
\xafb6336f84adfec7bbf0de95797b608d4815733e,3039.757305,2.5K-10K,14,2911.799,2.5K-10K,3
\xbd0ef14bc1af4f728d4e009ec8fe619f20b7c3b4,2970.41,2.5K-10K,1,0,0,0
\x4e4ba1179403e5927908eaeb829303c7835e7a91,2921.25095,2.5K-10K,5,2039.61949,500-2.5K,6
\xbac79de245633fcc4fb32c19bc0ac93f406c9950,2814.877476,2.5K-10K,8,9425.030432,2.5K-10K,11
\x51b3dd026e3837352d7a0efb431c62c1862d0d4d,2809.622304,2.5K-10K,10,846.033,500-2.5K,1
\x2c17c733cefc0e618850b546d9df53cdbfa29725,2631.0996858,2.5K-10K,10,34133.665754,10K+,54
\xec891eda8071654be1269d479199101fffe64016,2620.559893,2.5K-10K,2,144.55338,>500,1
\x4ecbaa7d2f86f2d78c04f49986ec2c57938752a6,2552.2896,2.5K-10K,2,0,0,0
\x2fe59a3d4379a127adb934bcb9fcccf2c770eb97,2511.807412,2.5K-10K,17,14347.29037448743,10K+,22
\x768c26e52234a0efdf77a033549fc074a6ff1663,2506.9655,2.5K-10K,1,60636.455684,10K+,60
\xc2332295cfbcd03531a77b00a019f39335ab8d43,2492.618125,500-2.5K,5,3235.195986,2.5K-10K,10
\xa3bb988e1b551df71c1e785415acb5d02043f934,2466.54695,500-2.5K,5,0,0,0
\xbfee73e88b4257c6a13854c746f32a29fcb9efd5,2464.624538,500-2.5K,11,2307.77939,500-2.5K,5
\xac18554be093f4cc4d86ec996fc5ffa8ea14ab27,2449.148846,500-2.5K,6,16761.26480,10K+,8
\x1334fdd8ae0694168785aca024768f1d99b65ff9,2422.625913048931,500-2.5K,7,1271.8011,500-2.5K,1
\xbd519e8de5ba2e5236339866504dfc92be77e233,2387.0932,500-2.5K,3,9308.9379,2.5K-10K,5
\x6bdb3b7286210f06234f29885a721b9d4ba5d28d,2342.380257,500-2.5K,11,0,0,0
\x7afc7f83b1ea7b96c480c3a70d7313ad5c89bca7,2341.44323,500-2.5K,4,0,0,0
\x0a771437ee59dcd30429dda71a1a011db8957bd1,2312.909058,500-2.5K,11,956.00366,500-2.5K,5
\xc78444fdffc4010fb84be2a6a4d1626f7c195f6d,2202.530358,500-2.5K,4,985.0476,500-2.5K,2
\xa3b0d8a6227fd2a493cc8306ce3e1e1335342433,2141.34079,500-2.5K,6,2735.44402,2.5K-10K,5
\x08896945c5bd65cc8c216e7efd6969b9cc306ed5,2072.53447,500-2.5K,4,0,0,0
\x24ca879e3f09e21cb3fe349e4faf56a8ff35779a,2040.79154,500-2.5K,4,841.63807,500-2.5K,2
\xafba1acc74aa89d638612e57aa4a9c60cae7c1c8,2024.263632,500-2.5K,3,0,0,0
\x5241aa99a776866296d1d695c02bb2e31b3ff998,2006.953050,500-2.5K,7,1300.302676,500-2.5K,2
\x6a61857928149cb7cd2ad29251902787bcf9c3b0,1978.44714,500-2.5K,6,7427.507737,2.5K-10K,23
\xb64fc4d9205c9b27b220bd8aea760eee9d8e36b5,1946.07535,500-2.5K,9,10700.438053,10K+,18
\x9a8dad4b5025bef44a5622a850f1e946b58c5cc7,1897.25684,500-2.5K,3,4093.6501,2.5K-10K,3
\xb8832d516d0f3094b4bdc5400e36a2a6984233ea,1844.972758,500-2.5K,6,2645.22165,2.5K-10K,5
\x1ba1ff69f03d38af7ef40e3afdc53ad073eb4642,1840.5107,500-2.5K,2,5356.55100,2.5K-10K,4
\xc02cae8f6217648fa2bfbd08c2be94028969a65d,1835.811521,500-2.5K,6,16890.7548,10K+,10
\x4f27ee7ad5ef8d881f62511a36a245e99eaed800,1827.59323,500-2.5K,4,28728.902820,10K+,18
\xc013122ef9df0e92c7654878908c47f63a77c247,1822.5890,500-2.5K,3,4951.690544,2.5K-10K,2
\x6facf564dbafcaf142cce4fbea8fca108bb42408,1731.53456,500-2.5K,8,4282.06256,2.5K-10K,3
\x0bd812cf2073d7c1371a974245a135503410766e,1726.03576,500-2.5K,4,19656.5391,10K+,12
\xdc6657a6e3ee8ec7004dadd99a7a030b975556f8,1641.702789941224,500-2.5K,3,0,0,0
\x88888888630a14a066db7943708032e8fa37a75a,1631.4071,500-2.5K,2,1615.027788,500-2.5K,1
\xd8c19b45061b8fc74136c06ee5cb464e6aa7cbba,1626.3195,500-2.5K,2,309.9496,>500,1
\x20580139460ed4c3cc7af00beaea9cbcd6fc7f8e,1616.16385,500-2.5K,3,1907.91968,500-2.5K,3
\xe1f21ad5246a5b484c4925b26fa9cc77e4b99cda,1614.126327,500-2.5K,4,3841.957458,2.5K-10K,3
\x898364d971b4827a91de2702b88d7930e0574a38,1601.5098,500-2.5K,2,6299.46168,2.5K-10K,3
\x759320ecd4146a597ab703427b9936f34f741938,1600.31983,500-2.5K,6,0,0,0
\x3a920ddbc41181846785ae9ee89929ffd26deeae,1587.56555,500-2.5K,7,578.55636,500-2.5K,2
\xf8e7ced72ed5a1f289c068e6990931e3e6354b71,1581.95061,500-2.5K,2,1881.90386,500-2.5K,7
\x9fa7fd8d9170f0dda389922e6c956800d5149924,1569.5263,500-2.5K,2,0,0,0
\x2eb9a256e6b802a2cfc38b485e0b301214f29293,1519.06045,500-2.5K,5,31097.910505,10K+,34
\x3ecfba75d5a113241ec899888319a9e1e456ee9a,1512.16725,500-2.5K,3,6942.104196,2.5K-10K,11
\x931e76877118c84f1d904295971ce383ecfed5f4,1495.9581,500-2.5K,2,7555.16082648505,2.5K-10K,14
\xb7ca8db84717c98dcf59be2b3a612e75ef5d54b0,1478.0610,500-2.5K,4,13905.148161,10K+,29
\x12fe20de6b441f18ba9a3c9a7a78c9bd16723e8d,1466.77956,500-2.5K,3,2322.182980,500-2.5K,8
\x6ad093bd6c0813fa2ecd4346d9dee5e3f7c44802,1459.3437,500-2.5K,5,0,0,0
\x9dd2fff980a96934ca022f4fca2b6c2652bbbc4d,1423.052764,500-2.5K,3,0,0,0
\x13445a6e17f1e6cf4e0f7632a864828171721791,1393.7952,500-2.5K,2,0,0,0
\xb4649484e2e3c4f1b689f9df327c2248b8203eb4,1388.1423,500-2.5K,5,552.242,500-2.5K,1
\xaca4ab44dcd2ec6982bb5238bf1daf268c159699,1385.9222,500-2.5K,4,0,0,0
\xcdf91269d4e4bba12f8f3c82be7a13e4a1d4b3bb,1380.0434,500-2.5K,6,2740.499443150795,2.5K-10K,10
\x294388d7f62065784666f797ca6919a4b8cef4ab,1369.2022,500-2.5K,2,1300.47245,500-2.5K,1
\x478849da9c519ded12d04ec6e896af6adf3cdd73,1355.76244,500-2.5K,1,0,0,0
\x3449482f78d52968f85183160b47e61d9c4fe4e8,1344.68395,500-2.5K,4,10022.310031,10K+,19
\xc208934e867dfcdc10e5ab58b631d2c3185edbc9,1299.325111,500-2.5K,4,589.25001,500-2.5K,2
\xbe39fe921d056769ef3657ec9003d235bf5c381f,1287.91553,500-2.5K,2,2193.373471,500-2.5K,5
\x175256f85a43d02a252c3e2b953fa8efdff9972b,1279.90253,500-2.5K,6,0,0,0
\x5db63f987817910bbb9656b5210990408d3831fb,1265.1373,500-2.5K,2,735.40423,500-2.5K,5
\x1bf555e99b9056e75f5752ebf6593c4929bf5d50,1234.013495,500-2.5K,8,2363.9539,500-2.5K,5
\x910c60c049d833a7fd2f5bda310bbea1c5fa3598,1221.45889,500-2.5K,5,21962.08785,10K+,23
\x0dbb0cff7c9515fc56d352ee37aeeefdf43b25fe,1098.277856,500-2.5K,3,0,0,0
